                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0977,                 4.1538,                 1.1484,                0.01093,                0.78846,                0.01095,                0.00751,                0.97891,                 3.4372,                 1.2296,                0.00012,                0.00012,                0.00012
                      2,                 1.0356,                 3.0781,                 1.1145,                0.01387,                      1,                0.03568,                0.02511,                0.96868,                 3.2797,                 1.1336,             0.00025357,             0.00025357,             0.00025357
                      3,                0.96797,                 2.4135,                  1.068,                0.01387,                      1,                0.04136,                0.03126,                0.91794,                 3.0282,                 1.0077,              0.0003802,              0.0003802,              0.0003802
                      4,                 1.0736,                 1.5094,                 1.1335,                0.01387,                      1,                0.19326,                0.14701,                0.92786,                 2.8248,                 1.0128,             0.00049991,             0.00049991,             0.00049991
                      5,                0.98818,                 1.4753,                 1.1403,                      1,                0.45924,                0.80291,                0.58978,                 1.0516,                 2.2782,                 1.0679,             0.00061268,             0.00061268,             0.00061268
                      6,                  1.121,                 1.6174,                 1.1994,                      1,                0.61107,                0.81205,                0.61168,                 1.0073,                 2.0895,                  1.041,             0.00071852,             0.00071852,             0.00071852
                      7,                 1.1464,                 1.2504,                 1.1333,                      1,                0.61107,                0.81205,                0.61168,                 1.0073,                 2.0895,                  1.041,             0.00081744,             0.00081744,             0.00081744
                      8,                 1.0672,                 1.3392,                 1.1321,                      1,                0.52176,                0.79269,                0.55138,                 1.1197,                 2.0781,                 1.0751,             0.00090943,             0.00090943,             0.00090943
                      9,                 1.0428,                 1.4823,                 1.1372,                0.98724,                0.74373,                0.91513,                0.63881,                 1.0833,                 1.7773,                 1.0405,             0.00099448,             0.00099448,             0.00099448
                     10,                 1.0931,                 1.4048,                  1.124,                0.98724,                0.74373,                0.91513,                0.63881,                 1.0833,                 1.7773,                 1.0405,              0.0010726,              0.0010726,              0.0010726
                     11,                 1.0397,                 1.2955,                 1.0604,                0.89499,                0.86538,                0.95814,                0.69942,                 1.0401,                 1.5366,                 1.0253,              0.0011438,              0.0011438,              0.0011438
                     12,                0.93214,                 4.2108,                0.95916,                0.89499,                0.86538,                0.95814,                0.69942,                 1.0401,                 1.5366,                 1.0253,              0.0012081,              0.0012081,              0.0012081
                     13,                 1.0621,                 1.2663,                  1.052,                0.86836,                0.88804,                0.93946,                0.71141,                 1.0019,                 1.4937,                 1.0092,              0.0012654,              0.0012654,              0.0012654
                     14,                 1.1074,                 1.2107,                 1.0697,                0.86836,                0.88804,                0.93946,                0.71141,                 1.0019,                 1.4937,                 1.0092,              0.0013158,              0.0013158,              0.0013158
                     15,                 1.0493,                 1.2173,                 1.0779,                0.87692,                0.79808,                0.92269,                0.67834,                 1.0617,                 1.2466,                 1.0372,               0.001307,               0.001307,               0.001307
